url,status_code,CMS,category,advertise
http://www.bizcover.com.au/,200,WordPress,Finance and Banking,False
http://www.trendnet.com.au/,200,Shopify,Information Technology,
http://www.bonfire.com.au/,200,WordPress,Information Technology,False
http://www.glamcorner.com.au/,200,Magento,Shopping,
http://www.thebongshop.com.au/,200,Shopify,Shopping,
http://www.elementsofbyron.com.au/,200,WordPress,Travel,False
http://www.broadband.com.au/,200,WordPress,Information Technology,False
http://www.nationalcoding.com.au/,200,WordPress,Business,False
http://www.retailexpress.com.au/,200,WordPress,Business,False
http://www.coursefinder.com.au/,200,WordPress,Education,False
http://www.autopartsgroup.com.au/,200,WordPress,Personal Vehicles,False
http://www.coghlanroofing.com.au/,200,WordPress,Business,False
http://www.mymarketingperson.com.au/,200,Squarespace,Newly Observed Domain,
http://www.christianpaul.com.au/,200,WordPress,Shopping,False
http://www.justbarstools.com.au/,200,Shopify,Shopping,
http://www.todaysplan.com.au/,200,WordPress,Sports,False
http://www.nurseriesonline.com.au/,200,WordPress,Society and Lifestyles,False
http://www.dollcake.com.au/,200,Shopify,Shopping,
http://www.smilesolutions.com.au/,200,WordPress,Health and Wellness,False
http://www.purebaby.com.au/,200,Magento,Shopping,
http://www.freshflowers.com.au/,200,Magento,Shopping,
http://www.dusk.com.au/,200,Magento,Shopping,
http://www.professionalplanner.com.au/,200,WordPress,Finance and Banking,True
http://www.perricutten.com.au/,200,WordPress,Not Detection,False
http://www.brighterwhite.com.au/,200,Shopify,Shopping,
http://www.wantedshoes.com.au/,200,Magento,Shopping,
http://www.onehandedcooks.com.au/,200,WordPress,Restaurant and Dining,False
http://www.beautyatbell.com.au/,200,WordPress,Business,False
http://www.arkit.com.au/,200,Squarespace,Shopping,
